19:23:02.661 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F1D70138D0A 0000000000000000 [2] java.lang.System.afterClinitInitialization (Bytecode PC: 134) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 227 bcsz
19:23:02.661 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E653 0000000000000000 [3] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 200 bcsz
19:23:02.661 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [4] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 8, cpu: 0.0%, 142 bcsz
19:23:02.663 0x1aa00           j9jit.15       - MTH_S: 00000000000DF6A0 00007F1D701EB5B4 0000000000000000 [1] java.io.OutputStreamWriter.<init> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 30 bcsz
19:23:02.663 0x1aa00           j9jit.16       - MTH_C: 00000000000DD678 00007F1D701E9973 0000000000000000 [2] java.io.PrintStream.<init> (Bytecode PC: 27) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 49 bcsz
19:23:02.663 0x1aa00           j9jit.16       - MTH_C: 00000000000639F8 00007F1D70138BCF 0000000000000000 [3] java.lang.System.createConsole (Bytecode PC: 35) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 39 bcsz
19:23:02.663 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F1D70138D56 0000000000000000 [4] java.lang.System.afterClinitInitialization (Bytecode PC: 210) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 227 bcsz
19:23:02.663 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E653 0000000000000000 [5] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 200 bcsz
19:23:02.663 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [6] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 9, cpu: 0.0%, 142 bcsz
19:23:02.665 0x1aa00           j9jit.15       - MTH_S: 0000000000066220 00007F1D7013E6CB 0000000000000000 [1] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 200 bcsz
19:23:02.665 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F1D7013E2D2 0000000000000000 [2] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 142 bcsz
19:23:02.667 0x1aa00           j9jit.15       - MTH_S: 00000000000EE900 00007F1D702031C4 0000000000000000 [1] java.security.SecureClassLoader.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 5 bcsz
19:23:02.667 0x1aa00           j9jit.16       - MTH_C: 00000000000EDFB0 00007F1D7013CEBC 0000000000000000 [2] jdk.internal.loader.ClassLoaders.<clinit> (Bytecode PC: 12) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 118 bcsz
19:23:02.667 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F1D701431BD 0000000000000000 [3] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 97) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 87 bcsz
19:23:02.667 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F1D7013E6CB 0000000000000000 [4] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 200 bcsz
