19:22:38.052 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F6C64138D0A 0000000000000000 [2] java.lang.System.afterClinitInitialization (Bytecode PC: 134) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 227 bcsz
19:22:38.052 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E653 0000000000000000 [3] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 200 bcsz
19:22:38.052 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [4] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 10, cpu: 0.0%, 142 bcsz
19:22:38.054 0x1aa00           j9jit.15       - MTH_S: 00000000000E13F0 00007F6C641EE874 0000000000000000 [1] sun.nio.cs.StreamEncoder.<clinit> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 17 bcsz
19:22:38.054 0x1aa00           j9jit.16       - MTH_C: 00000000000E04A0 00007F6C641EC8E3 0000000000000000 [2] java.io.OutputStreamWriter.<init> (Bytecode PC: 23) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 30 bcsz
19:22:38.054 0x1aa00           j9jit.16       - MTH_C: 00000000000DE478 00007F6C641EAC8B 0000000000000000 [3] java.io.PrintStream.<init> (Bytecode PC: 27) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 49 bcsz
19:22:38.054 0x1aa00           j9jit.16       - MTH_C: 00000000000639F8 00007F6C64138BCF 0000000000000000 [4] java.lang.System.createConsole (Bytecode PC: 35) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 39 bcsz
19:22:38.055 0x1aa00           j9jit.16       - MTH_C: 0000000000063A58 00007F6C64138D56 0000000000000000 [5] java.lang.System.afterClinitInitialization (Bytecode PC: 210) invokeCountDown: 31, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 227 bcsz
19:22:38.055 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E653 0000000000000000 [6] java.lang.Thread.initialize (Bytecode PC: 43) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 200 bcsz
19:22:38.055 0x1aa00           j9jit.16       - MTH_C: 0000000000066010 00007F6C6413E2D2 0000000000000000 [7] java.lang.Thread.<init> (Bytecode PC: 122) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 11, cpu: 0.0%, 142 bcsz
19:22:38.057 0x1aa00           j9jit.15       - MTH_S: 00000000000EC7D8 00007F6C641FB188 0000000000000000 [1] java.util.Collections$SynchronizedMap.<init> (Bytecode PC: 0) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 21 bcsz
19:22:38.057 0x1aa00           j9jit.16       - MTH_C: 00000000000ABF78 00007F6C6419F6A9 0000000000000000 [2] java.util.Collections.synchronizedMap (Bytecode PC: 5) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 9 bcsz
19:22:38.057 0x1aa00           j9jit.16       - MTH_C: 000000000006AC08 00007F6C6414316B 0000000000000000 [3] java.lang.ClassLoader.initializeClassLoaders (Bytecode PC: 15) invokeCountDown: 999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 87 bcsz
19:22:38.057 0x1aa00           j9jit.16       - MTH_C: 0000000000066220 00007F6C6413E6CB 0000000000000000 [4] java.lang.Thread.initialize (Bytecode PC: 163) invokeCountDown: 1999, startSampleCount: 0, gblSampleCount: 12, cpu: 0.0%, 200 bcsz
